Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Acanthus pubescens;Acanthus-type polystachius;ACANTHACEAE;A;tree;evergreen shrub, 2-6 m tall
Adathoda cf. A. schimperiana;Justicia-type schimperiana;ACANTHACEAE;A;tree;shrub
Anisotes;Anisotes;ACANTHACEAE;A;tree;shrubs or small trees
Anisotes sim.;Anisotes;ACANTHACEAE;A;tree;shrubs or small trees
Hypoestes* aristata;Hypoestes-type aristata;ACANTHACEAE;A;tree;fast growing shrub
HYPOESTES* ARISTATA;Hypoestes-type aristata;ACANTHACEAE;A;tree;fast growing shrub
Hypoestes-type aristata;Hypoestes-type aristata;ACANTHACEAE;A;tree;fast growing shrub
Hypostes aristata;Hypoestes-type aristata;ACANTHACEAE;A;tree;fast growing shrub
Justicia cf. odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia odora-type;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia type fischeri/odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia type fisheri/odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia type odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia* odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
JUSTICIA*ODORA;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia-type odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justicia-type odorata;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Justitia type odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
Ruttya;Ruttya-type;ACANTHACEAE;A;tree;shrubs
Ruttya-type;Ruttya-type;ACANTHACEAE;A;tree;shrubs
Thomandersia;Thomandersia;ACANTHACEAE;A;tree;shrubs or small trees up to 5 m high
Thomandersia hensii;Thomandersia hensii-type;ACANTHACEAE;A;tree;Shrub 3m tall
Thumbergia erecta;Thunbergia erecta-type;ACANTHACEAE;A;tree;Shrub
type J. odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
type Justicia odora;Justicia-type odora;ACANTHACEAE;A;tree;erect shrub
type Leandriella;Leandriella-type;ACANTHACEAE;A;tree;tree
Acer;Acer;ACERACEAE;A;tree;trees
ALANGINUM;Alangium;ALANGIACEAE;A;tree;trees or shrubs
Alangium;Alangium;ALANGIACEAE;A;tree;trees or shrubs
ALANGIUM CHINENESE;Alangium;ALANGIACEAE;A;tree;trees or shrubs
Alangium chinense;Alangium chinense;ALANGIACEAE;A;tree;deciduous moderate-sized to large tree, 9-24 m tall
Arthrocnemum;Arthrocaulon-type;AMARANTHACEAE;A;tree;shrub
Arthrocnemum glaucum;Arthrocaulon-type macrostachyum;AMARANTHACEAE;A;tree;much branched shrub 0.3-1 m high
Arthrocnemum glaucum-type;Arthrocaulon-type macrostachyum;AMARANTHACEAE;A;tree;much branched shrub 0.3-1 m high
Arthrocnemum macrostachyum-type;Arthrocaulon-type macrostachyum;AMARANTHACEAE;A;tree;much branched shrub 0.3-1 m high
Arthrocnemum-type;Arthrocaulon-type;AMARANTHACEAE;A;tree;shrub
Fadenia zygophylloides;Salsola zygophylloides;AMARANTHACEAE;A;tree;low shrub to 30 cm high
Fadenia-type zygophhylloides;Salsola zygophylloides;AMARANTHACEAE;A;tree;low shrub to 30 cm high
Fadenia-type zygophylloides;Salsola zygophylloides;AMARANTHACEAE;A;tree;low shrub to 30 cm high
Nucularia;Nucularia perrini;AMARANTHACEAE;A;tree;shrubby tree
Nucularia perrini;Nucularia perrini;AMARANTHACEAE;A;tree;shrubby tree
Nucularia-type;Nucularia perrini;AMARANTHACEAE;A;tree;shrubby tree
Nucularia-type perrini;Nucularia perrini;AMARANTHACEAE;A;tree;shrubby tree
Sericocomopsis;Sericocomopsis-type;AMARANTHACEAE;A;tree;small bushy shrubs < 2 m
Sericocomopsis type;Sericocomopsis-type;AMARANTHACEAE;A;tree;small bushy shrubs < 2 m
Sericocomopsis* pillida;Sericocomopsis-type pallida;AMARANTHACEAE;A;tree;Much-branched bushy shrub (0,2-)0,3-1,2(-1,8) m tall
Sericocomopsis-type;Sericocomopsis-type;AMARANTHACEAE;A;tree;small bushy shrubs < 2 m
Suada* monoïca;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
Suaeda cf. monoica;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
Suaeda monoica;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
Suaeda monoica-type;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
Suaeda* monoica;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
SUAEDA* MONOICA;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
Suaeda-type monoica;Suaeda monoica-type;AMARANTHACEAE;A;tree;shrub 1.2-6 m high
type Sericocomopsis;Sericocomopsis-type;AMARANTHACEAE;A;tree;small bushy shrubs < 2 m
Anacardiaceae;Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiaceae (2 especes);Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiaceae (2 espèces);Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiaceae comp.;Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiaceae Rhus longipes;Searsia-type longipes;ANACARDIACEAE;A;tree;shrub or tree 4-8 m high
Anacardiaceae undiff.;Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiacees;Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardiacées;Anacardiaceae undiff.;ANACARDIACEAE;A;tree;trees, shrubs (rarely scandent) or suffrutices
Anacardium;Anacardium occidentale;ANACARDIACEAE;A;tree;shrub or tree up to 10 m high
Anacardium occidentala;Anacardium occidentale;ANACARDIACEAE;A;tree;shrub or tree up to 10 m high
Anacardium occidentale;Anacardium occidentale;ANACARDIACEAE;A;tree;shrub or tree up to 10 m high
Anthrocaryon-type;Antrocaryon-type;ANACARDIACEAE;A;tree;large trees usually more than 20 m high
Antrocaryon;Antrocaryon-type;ANACARDIACEAE;A;tree;large trees usually more than 20 m high
Antrocaryon klaineana;Antrocaryon-type klaineanum;ANACARDIACEAE;A;tree;large tree
